account_id,account_type,snapshot_date,employee_count,industry,intent_score,mql_count_90d,trial_started,trial_active_users,web_touchpoints_90d,sales_contacts_90d,converted_within_90d
ACC-00034,Prospect,2025-06-25,27,Financial Services,,1,0,0,6,1,0
ACC-00035,Suspect,2025-02-01,361,Healthcare,,0,0,0,0,0,0
ACC-00036,Suspect,2025-08-03,124,Retail,,0,1,0,8,3,0
ACC-00037,Prospect,2025-08-16,13,Retail,38.4,0,0,0,6,4,0
ACC-00038,Former Customer,2025-09-09,60,Healthcare,48.4,1,0,0,0,2,0
ACC-00039,Prospect,2025-12-15,107,Financial Services,9.6,3,0,0,0,7,1
ACC-00040,Suspect,2025-12-10,26,Professional Services,20.3,0,0,0,3,1,0
ACC-00044,Suspect,2025-07-13,33,Professional Services,,1,1,4,0,3,0
ACC-00045,Prospect,2025-05-06,283,Professional Services,21.2,1,0,0,3,2,0
ACC-00046,Former Customer,2025-12-20,218,Retail,53.2,0,0,0,2,2,0
ACC-00047,Former Customer,2024-08-20,279,Healthcare,48.7,0,0,0,1,1,0
ACC-00048,Former Customer,2026-02-10,65,Financial Services,36.8,2,0,0,0,3,0
ACC-00050,Prospect,2024-09-11,92,Professional Services,,3,0,0,0,2,0
ACC-00051,Prospect,2025-10-12,8,Financial Services,,1,0,0,2,1,0
ACC-00052,Suspect,2025-04-24,74,Manufacturing,13.7,0,0,0,0,4,0
ACC-00053,Former Customer,2026-01-12,325,Healthcare,5.1,2,0,0,0,2,0
ACC-00054,Suspect,2026-04-18,137,Manufacturing,24.2,2,0,0,0,5,1
ACC-00055,Prospect,2025-09-06,39,Software,,0,1,0,0,0,0
ACC-00056,Prospect,2025-06-28,41,Healthcare,44.2,3,0,0,0,2,0
ACC-00057,Prospect,2026-04-03,272,Retail,15.8,0,0,0,0,2,0
ACC-00058,Prospect,2026-03-16,45,Professional Services,,4,0,0,2,0,0
ACC-00059,Prospect,2025-10-20,131,Retail,,1,0,0,5,1,0
ACC-00060,Prospect,2025-10-04,34,Manufacturing,,4,0,0,9,0,0
ACC-00061,Former Customer,2026-01-17,4,Financial Services,13.1,4,0,0,6,0,0
ACC-00062,Suspect,2025-11-02,75,Professional Services,15.4,0,0,0,0,3,0
ACC-00063,Suspect,2025-09-21,201,Financial Services,,1,0,0,3,2,0
ACC-00064,Prospect,2026-01-10,149,Manufacturing,23.8,0,1,4,0,3,1
ACC-00066,Suspect,2025-10-09,188,Healthcare,32.2,4,1,4,0,4,0
ACC-00068,Suspect,2025-12-05,23,Retail,6.7,2,0,0,7,1,0
ACC-00069,Suspect,2025-04-18,326,Healthcare,,1,0,0,0,3,0
ACC-00071,Suspect,2025-07-10,37,Software,22.1,2,0,0,0,4,0
ACC-00072,Former Customer,2025-05-19,140,Manufacturing,17.9,0,1,3,0,0,0
ACC-00073,Prospect,2025-07-31,43,Healthcare,,0,0,0,0,2,0
ACC-00074,Suspect,2025-08-28,55,Manufacturing,,0,1,5,0,2,0
ACC-00075,Prospect,2026-01-14,134,Software,,0,0,0,4,3,0
ACC-00078,Suspect,2025-02-26,92,Software,,2,0,0,8,0,0
ACC-00079,Prospect,2025-07-13,106,Manufacturing,22.5,0,1,0,1,1,0
ACC-00081,Prospect,2025-08-22,74,Retail,,1,0,0,0,2,0
ACC-00083,Prospect,2025-10-15,435,Professional Services,69.5,0,0,0,0,5,0
ACC-00084,Prospect,2025-06-21,17,Healthcare,10.2,9,0,0,2,0,0
ACC-00085,Suspect,2025-07-12,54,Retail,57.5,3,0,0,0,3,0
ACC-00087,Prospect,2025-02-11,57,Software,,0,0,0,5,3,0
ACC-00088,Prospect,2025-07-27,126,Retail,20.4,0,1,0,3,2,0
ACC-00089,Suspect,2026-03-31,15,Manufacturing,9.5,0,0,0,3,2,0
ACC-00090,Prospect,2025-10-03,71,Manufacturing,75.5,2,1,0,5,1,1
ACC-00091,Prospect,2025-10-02,461,Retail,,0,0,0,5,3,0
ACC-00092,Prospect,2026-04-29,59,Software,13.3,4,0,0,4,2,0
ACC-00094,Prospect,2025-09-26,46,Healthcare,39.4,0,0,0,8,2,0
ACC-00096,Suspect,2025-11-22,41,Software,,2,0,0,7,4,0
ACC-00097,Prospect,2025-09-13,312,Software,,2,0,0,4,6,0
ACC-00098,Former Customer,2025-08-14,11,Retail,35.8,0,0,0,2,4,1
ACC-00099,Suspect,2026-01-08,33,Financial Services,65.1,0,0,0,0,0,0
ACC-00102,Former Customer,2025-06-29,226,Financial Services,4.8,0,0,0,5,0,0
ACC-00103,Prospect,2026-01-19,16,Retail,24.2,1,1,0,3,2,1
ACC-00104,Former Customer,2025-04-25,25,Manufacturing,8.2,1,1,0,5,1,1
ACC-00105,Prospect,2025-10-09,115,Manufacturing,,2,0,0,4,0,1
ACC-00106,Prospect,2025-10-24,74,Manufacturing,27.5,1,0,0,4,4,0
ACC-00107,Prospect,2025-10-23,66,Healthcare,61.8,4,0,0,10,0,0
ACC-00108,Suspect,2025-11-18,82,Retail,7.1,0,0,0,11,0,0
ACC-00110,Prospect,2026-01-27,31,Financial Services,15.1,0,1,1,6,0,0
ACC-00111,Suspect,2025-08-17,33,Retail,20.7,3,0,0,2,0,0
ACC-00113,Suspect,2026-04-14,121,Software,53.0,3,0,0,8,4,0
ACC-00114,Prospect,2025-01-10,58,Retail,,1,0,0,4,0,0
ACC-00115,Former Customer,2025-03-04,25,Software,11.4,0,0,0,3,1,0
ACC-00117,Suspect,2026-04-06,103,Financial Services,14.4,0,0,0,3,3,0
ACC-00118,Prospect,2025-08-06,33,Healthcare,,4,1,1,6,0,0
ACC-00119,Prospect,2026-05-04,248,Healthcare,,1,0,0,4,0,0
ACC-00120,Prospect,2025-11-13,880,Professional Services,44.6,3,0,0,4,0,0
ACC-00121,Suspect,2026-05-27,148,Manufacturing,,2,0,0,3,0,0
ACC-00123,Prospect,2026-02-27,582,Professional Services,28.0,2,0,0,0,0,0
ACC-00125,Former Customer,2025-07-06,182,Software,,3,0,0,5,0,0
ACC-00126,Prospect,2025-12-17,12,Retail,,3,0,0,0,2,0
ACC-00127,Former Customer,2024-10-24,31,Software,45.4,0,0,0,2,0,0
ACC-00128,Suspect,2026-01-24,25,Financial Services,,1,1,5,1,1,0
ACC-00129,Prospect,2026-03-24,112,Retail,,2,0,0,4,1,0
ACC-00132,Suspect,2026-01-29,31,Manufacturing,23.6,2,0,0,8,0,0
ACC-00133,Prospect,2025-07-22,88,Software,40.3,1,0,0,2,1,0
ACC-00134,Suspect,2025-09-20,73,Software,46.8,1,0,0,6,0,0
ACC-00135,Prospect,2025-11-08,17,Software,,1,0,0,0,0,0
ACC-00137,Former Customer,2025-03-24,108,Manufacturing,6.9,1,0,0,3,0,0
ACC-00138,Prospect,2025-05-26,137,Financial Services,9.2,1,0,0,7,2,0
ACC-00139,Former Customer,2026-01-09,27,Financial Services,23.7,0,0,0,7,3,1
ACC-00140,Prospect,2025-08-16,22,Retail,,0,1,1,6,1,0
ACC-00141,Prospect,2025-10-22,85,Retail,2.0,0,0,0,0,0,0
ACC-00142,Prospect,2026-03-30,15,Financial Services,,1,0,0,0,0,0
ACC-00143,Prospect,2026-05-03,237,Manufacturing,,2,0,0,0,3,0
ACC-00145,Suspect,2025-11-13,4,Professional Services,,3,0,0,0,2,0
ACC-00147,Suspect,2025-09-11,14,Software,,3,0,0,0,1,0
ACC-00148,Prospect,2025-06-19,101,Software,34.8,0,0,0,0,3,0
ACC-00149,Prospect,2025-07-23,40,Professional Services,,0,0,0,0,0,0
ACC-00152,Prospect,2026-02-18,218,Professional Services,47.1,3,0,0,5,3,0
ACC-00153,Prospect,2025-11-05,81,Healthcare,,0,0,0,0,0,0
ACC-00154,Prospect,2025-10-15,64,Financial Services,24.3,0,0,0,5,1,0
ACC-00155,Suspect,2025-11-18,16,Software,27.9,4,0,0,3,6,0
ACC-00156,Prospect,2025-05-05,131,Professional Services,18.9,1,1,2,5,3,0
ACC-00157,Suspect,2026-02-10,26,Manufacturing,21.6,1,0,0,1,1,0
ACC-00158,Suspect,2025-08-21,10,Professional Services,,0,0,0,4,4,0
ACC-00159,Former Customer,2026-01-18,461,Professional Services,23.6,0,0,0,9,0,0
ACC-00162,Prospect,2025-12-30,96,Financial Services,,0,0,0,0,0,0
ACC-00163,Prospect,2025-08-03,20,Retail,,1,1,0,5,1,0
ACC-00164,Prospect,2025-07-17,98,Healthcare,,1,1,2,0,0,0
ACC-00165,Prospect,2026-04-01,20,Professional Services,31.8,0,0,0,7,1,0
ACC-00166,Former Customer,2024-12-24,50,Professional Services,44.4,0,0,0,1,1,0
ACC-00167,Prospect,2026-05-25,272,Retail,23.2,0,0,0,1,0,0
ACC-00168,Suspect,2025-11-22,132,Professional Services,5.9,1,0,0,3,0,0
ACC-00169,Suspect,2025-08-03,36,Professional Services,,0,0,0,7,1,0
ACC-00170,Prospect,2025-12-18,78,Financial Services,11.7,1,0,0,0,4,1
ACC-00171,Former Customer,2026-07-31,61,Healthcare,,1,0,0,2,0,0
ACC-00172,Prospect,2025-02-27,41,Retail,,0,0,0,1,0,0
ACC-00173,Former Customer,2025-04-14,175,Manufacturing,16.0,1,0,0,6,5,0
ACC-00174,Suspect,2025-07-03,13,Healthcare,27.4,1,0,0,0,4,0
ACC-00176,Prospect,2025-04-09,444,Professional Services,,0,0,0,3,4,1
ACC-00177,Prospect,2025-12-24,45,Healthcare,44.2,0,0,0,8,2,0
ACC-00178,Suspect,2024-11-27,72,Retail,8.3,0,1,1,3,0,0
ACC-00179,Prospect,2026-01-12,133,Manufacturing,54.8,2,0,0,9,5,0
ACC-00180,Suspect,2025-11-22,101,Healthcare,29.0,2,0,0,0,0,0
ACC-00181,Prospect,2026-01-13,308,Professional Services,34.2,0,0,0,3,0,0
ACC-00182,Prospect,2025-11-04,84,Healthcare,13.6,0,0,0,15,4,0
ACC-00184,Prospect,2026-02-17,81,Financial Services,,6,0,0,3,2,0
ACC-00185,Prospect,2026-06-14,104,Software,57.6,0,0,0,5,2,0
ACC-00187,Former Customer,2025-01-07,27,Manufacturing,,0,0,0,5,0,0
ACC-00188,Prospect,2025-04-06,419,Professional Services,33.8,0,0,0,3,1,0
ACC-00189,Former Customer,2025-11-22,42,Financial Services,42.0,3,0,0,3,1,0
ACC-00190,Former Customer,2026-05-01,159,Software,,2,0,0,7,0,0
ACC-00192,Suspect,2025-12-31,43,Software,,1,0,0,0,1,0
ACC-00193,Former Customer,2026-01-19,14,Retail,,2,0,0,9,3,0
ACC-00194,Suspect,2024-11-21,38,Financial Services,15.1,0,0,0,1,1,0
ACC-00195,Former Customer,2025-06-16,310,Healthcare,26.7,0,0,0,4,0,1
ACC-00196,Prospect,2026-01-23,270,Software,37.3,0,1,0,0,6,0
ACC-00197,Prospect,2026-02-15,18,Manufacturing,10.0,1,0,0,1,0,0
ACC-00198,Former Customer,2025-04-08,15,Retail,,0,1,2,4,0,0
ACC-00199,Prospect,2026-01-13,16,Financial Services,31.9,0,1,1,7,4,0
ACC-00201,Suspect,2025-08-27,33,Healthcare,45.1,2,0,0,11,1,1
ACC-00202,Prospect,2025-05-29,265,Retail,,0,0,0,1,3,0
ACC-00203,Prospect,2026-05-17,287,Manufacturing,37.4,1,0,0,5,0,0
ACC-00204,Prospect,2025-06-09,178,Retail,43.6,0,1,1,0,2,0
ACC-00206,Prospect,2026-05-22,17,Retail,,0,0,0,10,3,0
ACC-00207,Prospect,2025-03-23,7,Manufacturing,,4,1,3,4,3,0
ACC-00209,Suspect,2025-07-03,120,Financial Services,,1,0,0,3,0,0
ACC-00210,Suspect,2025-12-04,162,Healthcare,,2,1,0,0,1,0
ACC-00211,Prospect,2025-11-18,4,Healthcare,,1,0,0,1,2,0
ACC-00212,Prospect,2025-08-02,67,Professional Services,8.0,0,1,4,2,1,0
ACC-00213,Prospect,2026-01-16,13,Healthcare,30.3,0,1,4,3,0,0
ACC-00214,Prospect,2026-04-27,267,Financial Services,,0,1,0,3,3,1
ACC-00215,Suspect,2025-02-11,87,Software,4.2,0,0,0,5,5,0
ACC-00216,Former Customer,2026-01-12,17,Software,15.0,2,0,0,2,0,0
ACC-00217,Prospect,2025-12-08,15,Financial Services,17.1,2,0,0,6,5,0
ACC-00218,Former Customer,2026-04-04,54,Financial Services,,1,0,0,6,0,0
ACC-00219,Suspect,2024-11-18,288,Professional Services,13.6,0,0,0,0,0,0
ACC-00220,Suspect,2026-04-06,59,Healthcare,,0,0,0,3,3,0
ACC-00221,Prospect,2026-03-20,52,Software,26.2,2,0,0,5,2,0
ACC-00222,Suspect,2026-02-16,93,Financial Services,30.5,0,0,0,0,0,0
ACC-00223,Suspect,2026-03-24,31,Retail,15.1,0,0,0,4,5,0
ACC-00224,Suspect,2026-04-23,18,Professional Services,34.5,2,0,0,2,0,0
ACC-00225,Suspect,2025-12-18,103,Healthcare,,0,0,0,0,3,0
ACC-00226,Suspect,2026-03-22,60,Financial Services,57.8,0,0,0,2,0,0
ACC-00227,Prospect,2025-08-31,68,Retail,41.1,0,0,0,0,0,0
ACC-00229,Prospect,2025-11-23,129,Professional Services,51.8,1,0,0,0,0,0
ACC-00230,Former Customer,2024-11-29,118,Financial Services,34.8,2,0,0,0,3,0
ACC-00231,Prospect,2025-11-22,20,Retail,,0,0,0,1,1,0
ACC-00234,Prospect,2025-11-25,10,Retail,35.3,5,0,0,4,2,0
ACC-00235,Suspect,2026-03-14,56,Manufacturing,57.8,0,1,1,2,1,1
ACC-00238,Prospect,2025-06-07,60,Healthcare,54.1,0,0,0,10,3,0
ACC-00239,Prospect,2025-04-04,98,Software,,1,0,0,0,0,0
ACC-00240,Prospect,2026-03-08,39,Professional Services,31.5,0,0,0,4,2,0
ACC-00241,Prospect,2026-02-28,101,Retail,31.9,0,0,0,1,1,0
ACC-00242,Prospect,2025-07-24,34,Professional Services,21.1,0,0,0,0,3,0
ACC-00243,Former Customer,2026-05-31,251,Manufacturing,,0,0,0,0,0,0
ACC-00244,Suspect,2026-01-26,403,Retail,,0,0,0,2,3,0
ACC-00245,Former Customer,2025-08-12,69,Healthcare,45.6,1,0,0,2,1,0
ACC-00246,Suspect,2025-11-09,40,Financial Services,11.6,0,0,0,0,0,0
ACC-00247,Prospect,2025-10-07,247,Financial Services,10.6,2,1,0,6,0,0
ACC-00248,Prospect,2026-04-14,106,Healthcare,,3,0,0,7,3,0
ACC-00249,Prospect,2026-03-30,78,Professional Services,13.4,1,0,0,0,0,0
ACC-00250,Prospect,2025-10-20,153,Financial Services,59.1,0,0,0,2,0,0
ACC-00251,Prospect,2026-05-27,106,Professional Services,,1,1,3,5,0,0
ACC-00252,Suspect,2026-05-18,1434,Manufacturing,53.2,0,0,0,3,2,0
ACC-00253,Prospect,2025-10-12,85,Retail,21.5,0,0,0,4,2,0
ACC-00254,Prospect,2025-09-13,176,Software,,0,0,0,0,0,0
ACC-00255,Suspect,2025-07-24,83,Healthcare,,0,0,0,1,0,0
ACC-00256,Former Customer,2025-09-12,6,Healthcare,,0,0,0,2,0,0
ACC-00257,Prospect,2025-09-10,276,Software,,0,0,0,6,3,0
ACC-00258,Prospect,2025-01-07,106,Healthcare,14.8,0,0,0,0,0,0
ACC-00259,Prospect,2026-01-12,41,Manufacturing,,0,0,0,0,1,0
ACC-00261,Suspect,2025-08-24,111,Retail,24.4,1,0,0,3,5,0
ACC-00262,Prospect,2024-12-23,83,Retail,,3,0,0,6,6,0
ACC-00263,Prospect,2025-03-31,6,Healthcare,22.1,0,1,1,8,0,0
ACC-00266,Former Customer,2026-02-27,66,Professional Services,23.7,2,0,0,0,0,0
ACC-00269,Former Customer,2026-04-15,123,Retail,,1,0,0,0,1,0
ACC-00271,Prospect,2025-10-21,54,Software,,3,0,0,2,5,0
ACC-00274,Prospect,2026-02-19,34,Software,15.4,0,0,0,0,5,0
ACC-00276,Suspect,2025-11-26,21,Healthcare,,0,1,0,4,0,0
ACC-00277,Prospect,2024-12-09,34,Retail,,0,1,2,5,1,0
ACC-00278,Prospect,2025-09-04,8,Healthcare,,2,0,0,7,2,0
ACC-00279,Suspect,2026-05-09,128,Financial Services,,4,0,0,5,5,0
ACC-00280,Prospect,2024-12-10,27,Software,31.5,2,0,0,8,2,0
ACC-00281,Prospect,2025-06-19,184,Manufacturing,,0,0,0,3,4,0
ACC-00282,Suspect,2026-05-22,166,Software,,0,0,0,10,0,0
ACC-00283,Prospect,2025-08-25,117,Software,20.8,0,0,0,0,4,0
ACC-00286,Prospect,2025-10-09,44,Manufacturing,15.8,0,0,0,4,4,0
ACC-00290,Prospect,2025-11-22,56,Professional Services,,0,0,0,5,1,0
ACC-00291,Prospect,2026-02-08,472,Retail,27.2,1,0,0,4,3,0
ACC-00292,Prospect,2025-10-17,511,Healthcare,37.6,0,0,0,6,0,0
ACC-00293,Suspect,2025-04-09,48,Software,,0,0,0,0,4,0
ACC-00294,Former Customer,2025-07-19,67,Retail,13.1,3,0,0,2,4,0
ACC-00296,Prospect,2025-09-11,58,Software,26.1,2,1,1,0,0,0
ACC-00297,Prospect,2026-02-07,17,Software,,1,0,0,0,1,0
ACC-00298,Former Customer,2025-08-15,92,Healthcare,,2,0,0,8,0,1
ACC-00300,Prospect,2025-11-02,20,Financial Services,59.5,0,0,0,5,3,1
ACC-00301,Prospect,2026-01-07,199,Retail,40.6,0,0,0,0,1,0
ACC-00302,Former Customer,2026-02-15,9,Manufacturing,53.8,0,0,0,2,2,0
ACC-00303,Former Customer,2026-02-15,83,Healthcare,,3,0,0,0,3,0
ACC-00304,Prospect,2025-01-10,178,Healthcare,7.4,0,0,0,8,1,0
ACC-00305,Suspect,2025-12-18,228,Professional Services,,2,1,0,3,2,0
ACC-00306,Prospect,2025-07-31,112,Financial Services,29.3,0,0,0,9,2,0
ACC-00307,Suspect,2025-10-19,164,Software,50.3,2,0,0,0,3,0
ACC-00308,Prospect,2026-02-20,41,Retail,12.3,0,0,0,2,0,0
ACC-00309,Prospect,2026-01-19,12,Professional Services,16.2,0,0,0,8,3,0
ACC-00310,Suspect,2024-11-20,261,Financial Services,,0,1,0,9,2,0
ACC-00311,Suspect,2026-06-23,14,Financial Services,,3,0,0,10,5,0
ACC-00312,Prospect,2025-11-09,20,Financial Services,65.1,0,0,0,8,1,1
ACC-00314,Suspect,2025-10-18,21,Manufacturing,,4,0,0,4,5,0
ACC-00316,Suspect,2026-05-10,90,Manufacturing,31.4,0,0,0,0,2,0
ACC-00318,Prospect,2025-07-18,307,Financial Services,32.2,0,0,0,2,0,0
ACC-00319,Prospect,2025-07-27,74,Manufacturing,52.1,1,0,0,3,0,0
ACC-00320,Prospect,2025-10-08,144,Retail,11.8,0,0,0,2,3,0
ACC-00321,Suspect,2025-06-09,66,Financial Services,43.4,3,0,0,0,4,0
ACC-00322,Suspect,2025-12-04,45,Manufacturing,35.5,1,0,0,2,0,0
ACC-00324,Prospect,2025-01-13,38,Software,,3,1,0,11,2,1
ACC-00325,Prospect,2025-08-08,194,Professional Services,,1,0,0,1,2,0
ACC-00326,Former Customer,2025-06-19,295,Financial Services,,0,0,0,3,0,0
ACC-00327,Prospect,2026-01-28,205,Retail,6.2,0,1,2,0,2,0
ACC-00328,Suspect,2026-02-12,20,Financial Services,,0,0,0,5,3,0
ACC-00329,Suspect,2025-10-10,25,Healthcare,8.0,0,0,0,0,2,0
ACC-00330,Prospect,2026-05-07,183,Retail,26.3,3,1,0,4,2,0
ACC-00331,Prospect,2025-08-26,10,Professional Services,,0,0,0,0,4,1
ACC-00332,Former Customer,2026-01-29,48,Professional Services,,1,0,0,0,3,0
ACC-00333,Prospect,2025-02-11,53,Professional Services,,0,1,1,1,4,0
ACC-00335,Prospect,2025-11-21,445,Software,48.2,0,0,0,0,8,0
ACC-00336,Prospect,2026-05-05,87,Professional Services,41.7,0,0,0,8,0,0
ACC-00337,Prospect,2024-12-14,41,Professional Services,40.9,0,1,2,10,1,1
ACC-00338,Suspect,2025-04-30,19,Retail,22.5,0,0,0,2,5,0
ACC-00339,Prospect,2026-05-29,183,Financial Services,20.7,1,1,0,0,3,0
ACC-00340,Prospect,2025-12-19,15,Manufacturing,,0,0,0,0,0,0
ACC-00341,Suspect,2026-01-23,13,Retail,,1,0,0,4,0,0
ACC-00342,Suspect,2025-10-29,74,Healthcare,,1,1,2,0,3,0
ACC-00343,Prospect,2026-06-13,401,Manufacturing,35.0,0,0,0,11,0,0
ACC-00344,Former Customer,2025-09-06,198,Retail,,0,0,0,2,2,0
ACC-00346,Prospect,2026-04-02,10,Retail,10.7,2,1,1,6,5,0
ACC-00347,Prospect,2026-01-10,788,Manufacturing,,0,0,0,7,3,0
ACC-00348,Prospect,2026-03-03,12,Retail,,0,0,0,4,1,0
ACC-00349,Prospect,2025-08-08,53,Financial Services,9.3,0,0,0,3,0,0
ACC-00350,Prospect,2024-10-09,42,Professional Services,,3,0,0,7,0,0
ACC-00351,Prospect,2025-10-06,65,Manufacturing,,0,1,0,6,2,0
ACC-00352,Suspect,2025-06-04,11,Manufacturing,,0,0,0,0,3,0
ACC-00353,Former Customer,2025-10-31,11,Healthcare,48.5,0,0,0,3,1,0
ACC-00354,Prospect,2025-09-07,17,Financial Services,15.1,1,0,0,2,1,0
ACC-00355,Suspect,2025-06-26,47,Healthcare,,3,0,0,6,2,0
ACC-00356,Suspect,2025-09-27,312,Healthcare,8.3,0,0,0,5,0,0
ACC-00357,Prospect,2025-06-22,68,Healthcare,44.2,2,0,0,3,0,0
ACC-00360,Prospect,2025-04-23,159,Financial Services,14.1,5,0,0,0,0,0
ACC-00361,Prospect,2024-12-08,67,Financial Services,48.5,0,0,0,9,1,0
ACC-00363,Former Customer,2026-03-03,14,Professional Services,18.5,0,1,4,0,2,0
ACC-00364,Suspect,2026-01-28,171,Manufacturing,21.2,0,0,0,4,3,0
ACC-00365,Prospect,2026-02-24,67,Software,,0,0,0,6,4,0
ACC-00367,Suspect,2026-02-11,72,Retail,,1,0,0,2,5,0
ACC-00368,Suspect,2026-02-14,28,Retail,35.8,0,0,0,0,1,0
ACC-00370,Suspect,2025-12-23,17,Software,25.3,5,0,0,4,6,0
ACC-00372,Suspect,2026-04-17,75,Professional Services,27.8,3,0,0,0,3,1
ACC-00373,Prospect,2026-02-18,144,Financial Services,17.4,2,0,0,0,2,0
ACC-00374,Suspect,2026-05-20,95,Healthcare,55.4,1,0,0,1,1,0
ACC-00375,Suspect,2026-01-03,127,Retail,45.1,0,0,0,0,1,0
ACC-00377,Former Customer,2026-04-28,17,Professional Services,21.4,1,0,0,3,0,0
ACC-00378,Former Customer,2025-05-17,145,Professional Services,9.7,3,0,0,0,6,0
ACC-00379,Prospect,2025-03-20,646,Professional Services,21.9,1,0,0,0,1,0
ACC-00380,Suspect,2025-06-27,27,Professional Services,26.1,4,1,2,4,0,0
ACC-00381,Suspect,2025-08-05,139,Financial Services,,1,0,0,4,1,0
ACC-00382,Prospect,2025-04-03,92,Healthcare,21.8,1,1,4,2,1,0
ACC-00383,Former Customer,2025-11-11,25,Manufacturing,38.2,2,1,4,0,0,0
ACC-00384,Suspect,2026-02-18,356,Manufacturing,10.4,0,0,0,0,1,0
ACC-00385,Prospect,2025-04-10,227,Professional Services,,4,0,0,3,0,0
ACC-00387,Suspect,2026-03-12,229,Professional Services,9.6,0,0,0,2,3,0
ACC-00388,Former Customer,2026-06-09,33,Healthcare,,0,0,0,0,0,0
ACC-00389,Prospect,2025-11-18,33,Manufacturing,28.5,0,1,3,0,0,0
ACC-00390,Prospect,2025-07-22,211,Financial Services,39.3,4,0,0,0,3,0
ACC-00393,Suspect,2024-10-28,81,Software,12.4,0,0,0,0,4,0
ACC-00394,Suspect,2025-06-11,154,Retail,,2,0,0,0,2,0
ACC-00395,Prospect,2026-03-02,87,Financial Services,,0,0,0,1,0,0
ACC-00396,Prospect,2026-01-14,72,Manufacturing,,0,1,0,0,0,0
ACC-00397,Suspect,2025-12-05,260,Financial Services,20.9,1,0,0,0,5,0
ACC-00399,Former Customer,2026-04-25,26,Retail,37.5,1,1,0,0,3,0
ACC-00401,Prospect,2025-05-15,29,Healthcare,22.8,0,1,4,0,0,0
ACC-00403,Prospect,2025-02-16,22,Retail,33.5,1,0,0,2,1,0
ACC-00404,Prospect,2025-01-14,35,Healthcare,26.8,0,1,4,0,4,0
ACC-00405,Suspect,2025-07-09,28,Software,,0,0,0,0,0,0
ACC-00406,Suspect,2025-09-10,29,Manufacturing,,2,0,0,7,3,0
ACC-00407,Suspect,2025-06-27,32,Healthcare,,0,0,0,0,2,0
ACC-00408,Former Customer,2025-01-10,76,Software,21.0,2,1,4,0,3,0
ACC-00409,Former Customer,2026-05-11,82,Financial Services,38.4,2,0,0,2,5,0
ACC-00410,Prospect,2025-05-15,118,Financial Services,7.2,2,0,0,0,0,0
ACC-00411,Former Customer,2026-01-27,265,Professional Services,19.5,2,0,0,0,4,0
ACC-00412,Suspect,2026-07-16,92,Financial Services,27.8,0,1,0,3,0,0
ACC-00413,Prospect,2026-03-24,163,Retail,19.6,3,0,0,1,0,0
ACC-00415,Prospect,2025-08-02,155,Healthcare,43.6,1,0,0,2,3,0
ACC-00417,Prospect,2025-09-21,19,Professional Services,61.2,1,0,0,0,3,0
ACC-00419,Prospect,2025-08-10,48,Financial Services,29.6,0,0,0,0,0,0
ACC-00422,Prospect,2025-06-11,53,Professional Services,,0,0,0,0,2,0
